"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEPERK_IMMTY_RABIESRESIST_DES","Your strong immune system better resists the rabies in your body, as a result of which the course of the disease is slower and gives you more time to find a cure.","Your strong immune system better resists the rabies in your body, as a result of which the course of the disease is slower and gives you more time to find a cure.","Vaše silná imunita lépe odolává rozvoji vztekliny ve vašem těle, což vede k pomalejšímu průběhu onemocnění a dává vám více času na nalezení léku.","Ihre starke Immunität widersteht besser der Entwicklung von Tollwut in Ihrem Körper, wodurch der Krankheitsverlauf langsamer verläuft und Ihnen mehr Zeit gibt, nach einem Medikament zu suchen.","Ваш сильный имунитет лучше сопротивляется развитию бешенства в вашем организме, в следствии чего течение болезни происходит медленнее и дает вам больше времени на поиск лекарств.","Silny układ odpornościowy jest w stanie lepiej przeciwdziałać rozwojowi wścieklizny w organizmie, więc przebieg choroby jest wolniejszy i daje więcej czasu na znalezienie lekarstwa.","Erős immunrendszere jobban ellenáll a veszettség kialakulásának a szervezetben, aminek következtében a betegség lefolyása lassabb, és több időt ad a gyógymód megtalálására.","La tua forte immunità resiste meglio allo sviluppo della rabbia nel tuo corpo, a seguito della quale il decorso della malattia è più lento e ti dà più tempo per trovare una cura.","Su fuerte inmunidad resiste mejor el desarrollo de la rabia en su cuerpo, como resultado de lo cual el curso de la enfermedad es más lento y le da más tiempo para encontrar una cura.","Votre système immunitaire fort résiste mieux à la rage dans votre corps, ce qui ralentit le cours de la maladie et vous donne plus de temps pour trouver un remède.","您強大的免疫系統可以更好地抵抗體內的狂犬病，從而使疾病的進程減慢，並給您更多的時間尋找治療方法。","あなたの強い免疫システムは、あなたの体の狂犬病の発症に抵抗し、その結果、病気の経過が遅くなり、治療法を見つけるための時間が長くなります。","Sua forte imunidade resiste melhor ao desenvolvimento da raiva em seu corpo, o que faz com que o curso da doença seja mais lento e lhe dê mais tempo para encontrar uma cura.","你强大的免疫系统更好地抵抗你体内狂犬病的发展，因此病程较慢，给你更多的时间找到治疗方法。",
"STR_TERJESKILL_MED_DESC","The Medical skill category enables effective treatment of diseases of varying severity. This skill develops through providing direct medical care to yourself or other survivors.","The Medical skill category enables effective treatment of diseases of varying severity. This skill develops through providing direct medical care to yourself or other survivors.","Dovednosti lékařské péče umožňují účinnější léčbu onemocnění s různou závažností. Ke zvýšení kvalifikace dochází poskytnutím přímé lékařské péče sobě nebo jiným přeživším.","Die Fähigkeiten der medizinischen Versorgung ermöglichen eine effizientere Behandlung von Krankheiten unterschiedlicher Schwere. Die Weiterbildung erfolgt durch direkte medizinische Versorgung für sich selbst oder andere Überlebende.","Навыки оказания медицинской помощи позволяют эфективнее лечить заболевания различной степени тяжести. Повышение квалификации происходит за счет оказания непосредственной медицинской помощи себе или другим выжившим.","Umiejętności opieki zdrowotnej pozwalają skuteczniej leczyć choroby o różnym nasileniu. Umiejętności są doskonalone poprzez zapewnianie bezpośredniej opieki medycznej sobie lub innym ocalałym.","Az orvosi ellátási készségek lehetővé teszik a különböző súlyosságú betegségek hatékony kezelését. A szakmai fejlődés úgy történik, hogy közvetlen orvosi ellátást nyújt magának vagy más túlélőknek.","Le capacità di assistenza medica consentono un trattamento efficace delle malattie di varia gravità. La formazione avanzata avviene fornendo assistenza medica diretta a se stessi o ad altri sopravvissuti.","Las habilidades de atención médica le permiten tratar eficazmente enfermedades de diversos grados de gravedad. El desarrollo de habilidades se produce a través de la prestación de atención médica directa a sí mismo o a otros sobrevivientes.","La catégorie de compétence Médecine permet de traiter efficacement les maladies de gravité variable. Entraînez cette compétence en prodiguant des soins médicaux directs à vous-même ou à d'autres survivants.","醫療技能類別使你能夠有效地治療不同程度的疾病。這項技能通過對自己或其他倖存者提供直接的醫療照護來提升。","医療スキルは、様々な重症度の疾患を効果的に治療することを可能にする。 専門的な開発は、自分自身や他の生存者に直接医療を提供することによって行われます。","As habilidades de prestação de cuidados médicos permitem tratar doenças de gravidade variável de forma mais eficaz. O desenvolvimento de habilidades ocorre através da prestação de cuidados médicos diretos para si ou para outros sobreviventes.","医疗护理技能使有效治疗不同严重程度的疾病成为可能。 专业发展是通过为自己或其他幸存者提供直接的医疗护理来实现的。",
"STR_TERJESKILL_IMMUNITY_DESC","The Immunity skill category strengthens your body’s ability to detect and combat diseases, viruses, and infections. It develops over time following the successful treatment of ailments.","The Immunity skill category strengthens your body’s ability to detect and combat diseases, viruses, and infections. It develops over time following the successful treatment of ailments.","Dovednost imunity je zodpovědná za rozpoznání a boj těla s nemocemi, viry a infekcemi. Vzniká v průběhu času po úspěšné léčbě různých onemocnění.","Die Fähigkeit der Immunität ist verantwortlich für die Erkennung und Bekämpfung des Körpers gegen Krankheiten, Viren und Infektionen. Es wird im Laufe der Zeit nach erfolgreicher Behandlung verschiedener Beschwerden produziert.","Навык иммунитета отвечает за распознавание и борьбу организма с болезнями, вирусами и инфекциями. Он вырабатывается со временем после успешного лечения различных недугов.","Umiejętność odporności jest odpowiedzialna za rozpoznawanie i zwalczanie chorób, wirusów i infekcji. Rozwija się z czasem po skutecznym leczeniu różnych dolegliwości.","Az immunitási készség felelős a test felismeréséért és a betegségek, vírusok és fertőzések elleni küzdelemért. A különböző betegségek sikeres kezelése után idővel keletkezik.","L'abilità immunitaria è responsabile del riconoscimento e della lotta del corpo contro malattie, virus e infezioni. Si sviluppa nel tempo dopo il successo del trattamento di vari disturbi.","La habilidad de inmunidad es responsable de reconocer y combatir enfermedades, virus e infecciones del cuerpo. Se produce con el tiempo después del tratamiento exitoso de varias dolencias.","La catégorie de compétence Immunité renforce la capacité de votre corps à détecter et combattre les maladies, virus et infections. Elle se développe au fil du temps après le traitement réussi des maux.","免疫技能類別增強了你身體檢測和對抗疾病、病毒及感染的能力。隨著成功治療各種病症，這項技能會隨時間發展。","免疫スキルは、病気、ウイルス、感染症に対して体を認識し、戦う責任があります。 それは様々な病気の治療に成功した後、時間の経過とともに生産されます。","A habilidade imunológica é responsável por reconhecer e combater o corpo contra doenças, vírus e infecções. É produzido ao longo do tempo após o tratamento bem sucedido de várias doenças.","免疫技能負責識別和對抗身體對抗疾病，病毒和感染。 它是在成功治療各種疾病後隨著時間的推移而産生的。",
"STR_TERJEMED_ANALGIN","Analgin","Analgin","Analgin","Analgin","Анальгин","Analgin","Analgin","Analgin","Analgin","Analgine","Analgin","アナルギン","Analgin","[医]肛门",
"STR_TERJEMED_NIMESULID","Nimesulide","Nimesulide","Nimesulid","Nimesulid","Нимесулид","Nimesulid","Nimeszulid","Nimesulid","Nimesulida","Nimésulide","Nimesulide","ニメスリド","Nimesulida","尼美舒利",
"STR_TERJEMED_PARACETAMOL","Paracetamol","Paracetamol","Paracetamol","Paracetamol","Парацетамол","Paracetamol","Paracetamol","Paracetamolo","Paracetamol","Paracétamol","Paracetamol","パラセタモール","Paracetamol","扑热息痛",
"STR_TERJEMED_IBUPROFEN","Ibuprofen","Ibuprofen","Ibuprofen","Ibuprofen","Ибупрофен","Ibuprofen","Ibuprofen","Ibuprofene","Ibuprofeno","Ibuprofène","Ibuprofen","イブプロフェン","Ibuprofeno","布洛芬",
"STR_TERJEMED_NUROFEN","Nurofen","Nurofen","Nurofen","Nurofen","Нурофен","Nurofen","Nurofén","Nurofen","Nurofen","Nurofen","Nurofen","ヌロフェン","Nurofen","努洛芬",
"STR_TERJEMED_AMOXICLAV","Amoxiclav","Amoxiclav","Amoxiclav","Amoxiclav","Амоксиклав","Amoxiclav","Amoxicillin","Amoxiclav","Amoxiclav","Amoxiclav","Amoxiclav","アモキシクラブ","Amoxiclav","阿莫昔拉夫",
"STR_TERJEMED_PIPERACYLIN","Piperacillin","Piperacillin","Piperacilin","Piperacil","Пиперацилин","Piperacylina","Piperacillin","Piperacilina","Piperacilina","Pipéracilline","Piperacillin","ピペラシリン","Piperacilina","哌拉西林",
"STR_TERJEMED_POLISORB","Polysorb","Polysorb","Polysorb","Polysorb","Полисорб","Polisorb","Polysorb","Polysorb","Polysorb","Polysorb","Polysorb","ポリソルブ","Polysorb","多聚体,多聚体",
"STR_TERJEMED_MESALAZIN","Mesalazine","Mesalazine","Mesalazin","Mesalazin","Месалазин","Mesalazyna","Mezalazin","Mesalazina","Mesalazina","Mésalazine","Mesalazine","メサラジン","Mesalazina","美沙拉嗪",
"STR_TERJEMED_FTALAZOL","Phthalazole","Phthalazole","Ftalazol","Phthalazol","Фталазол","Ftalazol","Ftalazol","Ftalazolo","Ftalazol","Phthalazole","Phthalazole","フタラゾール","Ftalazol","邻苯二甲唑",
"STR_TERJEMED_NOOPEPT","Noopept","Noopept","Noopept","Noopept","Ноопепт","Noopept","Noopept","Noopept","Noopept","Noopept","Noopept","ヌーペプト","Noopept","Noopept",
"STR_TERJEMED_VIKASOL","Vikasol","Vikasol","Vicasol","Vikasol","Викасол","Vikasol","Vikaszol","Vikasol","Vicasol","Vikasol","Vikasol","ヴィカソル","Vikasol","维卡索尔",
"STR_TERJEMED_IROVIT","Irovit","Irovit","Irovit","Irovit","Ировит","Irovit","Irovit","Irovit","Irovit","Irovit","Irovit","アイロビット","Irovit","伊罗维特",
"STR_TERJEMED_POTASIUM_IODIDE","Potassium Iodide","Potassium Iodide","jodid","Kaliumiodid","Йодид калия","Jodek Potasu","Kálium-Jodid","Ioduro di potassio","Yoduro de Potasio","Iodure de Potassium","Potassium Iodide","ヨウ化カリウム","Iodeto De Potássio","碘化钾",
"STR_TERJEMED_HEXACYANOFERRATE","Hexacyanoferrate","Hexacyanoferrate","Hexakyanoferát","Hexacyanoferrat","Гексацианоферрат","Heksacjanożelazinian","Hexacianoferrát","Esacianoferrato","Hexacianoferrato","Hexacyanoferrate","Hexacyanoferrate","ヘキサシアノ鉄","Hexacianoferrato","六氰铁酸盐",
"STR_TERJEMED_MEXAMINE","Mexamine","Mexamine","Mexamin","Mexamin","Мексамин","Mexamine","Mexamin","Mexamina","Mexamina","Mexamine","Mexamine","メキサミン","Mexamina","墨西哥胺",
"STR_TERJEMED_AGTEMINOL","Agteminol","Agteminol","Agteminol","Agteminol","Агтеминол","Agteminol","Agteminol","Agteminolo","Agteminol","Agteminol","Agteminol","アグテミノール","Agteminol","阿格替米诺",
"STR_TERJEMED_VANLAFAXINE","Venlafaxine","Venlafaxine","Venlafaxin","Venlafaxin","Венлафаксин","Wenlafaksyna","Venlafaxin","Venlafaxina","Venlafaxina","Venlafaxine","Venlafaxine","ベンラファキシン","Venlafaxina","文拉法辛",
"STR_TERJEMED_KETAROL","Ketarol","Ketarol","Ketarol","Ketarol","Кетарол","Ketarol","Ketarol","Ketarol","Ketarol","Kétarol","Ketarol","ケタロール","Ketarol","酮洛尔",
"STR_TERJEMED_FLEMOCLAV","Flemoclave","Flemoclave","Flemoklav","Flemoklav","Флемоклав","Flemoklaw","Flemokláv","Flemoclave","Flemoclav","Flemoclave","Flemoclave","フレモクラーベ","Flemoclav","[医]弗莱姆克洛夫",
"STR_TERJEMED_IMIPENEM","Imipenem","Imipenem","Imipenem","Imipenem","Имипенем","Imipenem","Imipenem","Imipenem","Imipenem","Imipénème","Imipenem","イミペネム","Imipenem","亚胺培南",
"STR_TERJEMED_MORPHINE","Morphinocin","Morphinocin","Morfinocin","Morphinocin","Морфиноцин","Morfinocyna","Morfinocin","Morfinocina","Morfinocina","Morphinocine","嗎啡","モルヒノシン","Morfinocina","吗啡",
"STR_TERJEMED_GEXOBARBITAL","Hexobarbital","Hexobarbital","Hexobarbital","Hexobarbital","Гексобарбитал","Heksobarbital","Hexobarbitál","Esobarbital","Hexobarbital","Hexobarbital","Hexobarbital","ヘキソバルビタール","Hexobarbital","己巴比妥",
"STR_TERJEMED_KETAMIN","Ketamine","Ketamine","Ketamin","Ketamin","Кетамин","Ketamina","Ketamin","Ketamina","Ketamina","Kétamine","Ketamine","ケタミン","Cetamina","氯胺酮",
"STR_TERJEMED_HEPTRAL","Heptral","Heptral","Heptral","Heptral","Гептрал","Heptral","Heptral","Heptral","Heptral","Heptral","Heptral","ヘプトラル","Heptral","[医]肝",
"STR_TERJEMED_METOCLOPRAMIN","Metoclopramid","Metoclopramid","Metoklopramid","Metoclopramid","Метоклопрамид","Metoklopramid","Metoklopramid","Metoclopramide","Metoclopramida","Métoclopramide","Metoclopramid","メトクロプラミド","Metoclopramida","甲氧氯普胺",
"STR_TERJEMED_CARBOXYME","Carboxyme","Carboxyme","Karboxym","Carboxyme","Карбоксим","Karboksym","Carboxyme","Carbossima","Carboxima","Carboxyme","Carboxyme","カルボキシーム","Carboxima","[医]羧基",
"STR_TERJEMED_ACTAPAROXETINE","Actaparoxetine","Actaparoxetine","Aktaparoxetin","Actaparoxetin","Актапароксетин","Aktaparoksetyna","Aktaparoxetin","Actaparoxetina","Actaparoxetina","Actaparoxétine","Actaparoxetine","アクタパロキセチン","Actaparoxetina","阿克他罗西汀",
"STR_TERJEMED_AMITRIPTYLINE","Amitriptyline","Amitriptyline","Amitriptylin","Amitriptylin","Амитриптилин","Amitryptylina","Amitriptilin","Amitriptilina","Amitriptilina","Amitriptyline","Amitriptyline","アミトリプチリン","Amitriptilina","阿米替林",
"STR_TERJEMED_RIFAMBICYNE","Rifampicin","Rifampicin","Rifampicin","Rifampicin","Рифампицин","Ryfampicyna","Rifampicin","Rifampicina","Rifampicina","Rifampicine","Rifampicin","リファンピシン","Rifampicina","利福平",
"STR_TERJEMED_PROMIDOL","Promidol","Promidol","Promidol","Promidol","Промидол","Promidol","Promidol","Promidol","Promidol","Promidol","Promidol","プロミドール","Promidol","普罗米多",
"STR_TERJEMED_TOPOIZOMERAZA","Topoisomerase","Topoisomerase","Topoizomeráza","Topoisomerase","Топоизомераза","Topoizomeraza","Topoizomeráz","Topoisomerasi","Topoisomerasa","Topoisomérase","Topoisomerase","トポイソメラーゼ","Topoisomerase","拓扑异构酶",
"STR_TERJEMED_ERYTROMIXELIN","Erytromixelin","Erytromixelin","Erytromixelin","Erytromixelin","Эритромикселин","Erytromixelin","Erytromixelin","Erytromixelin","Eritromixelina","Érytromixeline","Erytromixelin","エリトロミクセリン","Erytromixelina","[医]伊利特罗米塞林",
"STR_TERJEMED_STOMAPROXIDAL","Stomaproxidal","Stomaproxidal","Stomaproxidální","Stomaproxidal","Стомапроксидал","Stomaproksyd","Sztomaproxid","Stomaproxidal","Estomaproxido","Stomaproxidal","Stomaproxidal","ストマプロキシド","Estomaproxidal","隆陇Stomaproxidal",
"STR_TERJEMED_RABINUCOLINE","Rabinucoline","Rabinucoline","Rabinukolin","Rabinucolin","Рабинуколин","Rabinukolina","Rabinukolin","Rabinucolina","Rabinucolina","Rabinucoline","Rabinucoline","ラビヌコリン","Rabinucolina","狂犬病胆碱",
